aldermanic_2022,ward
1,18
1,19
1,20
1,21
1,22
1,23
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
10,159
10,160
10,161
10,163
10,164
10,193
10,198
10,199
10,200
10,201
10,202
10,203
10,204
10,205
10,206
10,207
10,208
10,209
10,88
10,89
10,90
10,91
11,252
11,253
11,254
11,255
11,256
11,257
11,258
11,259
11,260
11,261
11,262
11,263
11,264
11,265
11,266
11,267
11,268
11,269
11,270
11,311
12,223
12,224
12,225
12,226
12,227
12,228
12,229
12,230
12,231
12,232
12,233
12,234
12,235
12,242
12,244
12,245
12,246
12,247
12,305
12,307
12,308
13,271
13,272
13,275
13,276
13,281
13,291
13,292
13,293
13,294
13,295
13,296
13,297
13,298
13,299
13,300
13,301
13,302
13,303
13,304
13,312
13,313
13,314
14,236
14,237
14,238
14,239
14,240
14,241
14,243
14,273
14,274
14,277
14,278
14,279
14,280
14,282
14,283
14,284
14,285
14,286
14,287
14,288
14,289
14,290
14,309
14,310
15,139
15,140
15,142
15,143
15,144
15,145
15,146
15,147
15,148
15,149
15,150
15,151
15,152
15,153
15,154
15,155
15,165
15,166
15,167
15,168
15,169
15,170
15,189
15,197
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,67
2,68
2,69
2,70
2,71
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,174
3,175
3,176
3,178
3,179
4,141
4,156
4,158
4,162
4,177
4,180
4,181
4,182
4,183
4,184
4,185
4,186
4,187
4,188
4,190
4,191
4,192
4,194
4,195
4,196
5,315
5,33
5,34
5,35
5,36
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
5,81
5,82
5,83
5,85
5,86
5,87
6,104
6,105
6,108
6,109
6,110
6,111
6,112
6,113
6,114
6,115
6,116
6,117
6,118
6,119
6,120
6,135
6,136
6,137
6,138
6,171
6,172
6,173
7,100
7,101
7,102
7,103
7,106
7,107
7,157
7,61
7,62
7,63
7,64
7,65
7,66
7,84
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,99
8,210
8,211
8,212
8,213
8,214
8,215
8,216
8,217
8,218
8,219
8,220
8,221
8,222
8,248
8,249
8,250
8,251
8,306
9,1
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,2
9,24
9,3
9,4
9,5
9,6
9,7
9,8
9,9
